fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-09-06,WN,WN,WN,2119,WN,N478WN,2119,15016,STL,"St. Louis, MO",10721,BOS,"Boston, MA",1000,959,-1,7,1006,1313,12,1345,1325,-20,0,,0,N,165,146,127,1,1047,,,,,,,,,
2019-09-09,WN,WN,WN,1946,WN,N218WN,1946,13232,MDW,"Chicago, IL",13296,MHT,"Manchester, NH",2110,2125,15,10,2135,21,5,15,26,11,0,,0,N,125,121,106,1,838,,,,,,,,,
2018-11-24,WN,WN,WN,3302,WN,N469WN,3302,10423,AUS,"Austin, TX",13204,MCO,"Orlando, FL",1140,1145,5,12,1157,1453,6,1505,1459,-6,0,,0,N,145,134,116,1,994,,,,,,,,,
2018-08-10,WN,WN,WN,711,WN,N457WN,711,14107,PHX,"Phoenix, AZ",14908,SNA,"Santa Ana, CA",810,805,-5,12,817,910,3,925,913,-12,0,,0,N,75,68,53,1,338,,,,,,,,,
2018-01-11,AA,AA_CODESHARE,AA,3508,MQ,N652RS,3508,13303,MIA,"Miami, FL",15249,TLH,"Tallahassee, FL",1725,1732,7,26,1758,1904,3,1857,1907,10,0,,0,N,92,95,66,1,402,,,,,,,,,
2019-10-20,UA,UA_CODESHARE,UA,3628,YX,N752YX,3628,12266,IAH,"Houston, TX",13158,MAF,"Midland/Odessa, TX",1620,1611,-9,11,1622,1731,6,1755,1737,-18,0,,0,N,95,86,69,1,429,,,,,,,,,
2019-11-17,AA,AA_CODESHARE,AA,5407,OH,N710PS,5407,11193,CVG,"Cincinnati, OH",11057,CLT,"Charlotte, NC",1716,1717,1,14,1731,1834,14,1902,1848,-14,0,,0,N,106,91,63,1,335,,,,,,,,,
2018-05-10,AS,AS,AS,399,AS,N309AS,399,14831,SJC,"San Jose, CA",14747,SEA,"Seattle, WA",1444,1457,13,16,1513,1708,7,1647,1715,28,0,,0,N,123,138,115,1,696,0,0,15,0,13,,,,
2019-05-16,DL,DL,DL,214,DL,N6715C,214,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",1912,1913,1,12,1925,2115,11,2143,2126,-17,0,,0,N,151,133,110,1,760,,,,,,,,,
2019-10-25,DL,DL,DL,2654,DL,N991AT,2654,12478,JFK,"New York, NY",10994,CHS,"Charleston, SC",1345,1338,-7,21,1359,1532,5,1553,1537,-16,0,,0,N,128,119,93,1,636,,,,,,,,,
2018-04-20,AA,AA,AA,637,AA,N581UW,637,11057,CLT,"Charlotte, NC",12889,LAS,"Las Vegas, NV",1509,1506,-3,41,1547,1657,10,1703,1707,4,0,,0,N,294,301,250,1,1916,,,,,,,,,
2019-04-23,AS,AS,AS,505,AS,N440AS,505,14747,SEA,"Seattle, WA",13198,MCI,"Kansas City, MO",945,936,-9,20,956,1502,6,1515,1508,-7,0,,0,N,210,212,186,1,1489,,,,,,,,,
2018-11-07,AA,AA_CODESHARE,AA,5919,YV,N242LR,5919,10627,BIS,"Bismarck/Mandan, ND",11298,DFW,"Dallas/Fort Worth, TX",1616,1608,-8,11,1619,1830,9,1855,1839,-16,0,,0,N,159,151,131,1,977,,,,,,,,,
2018-04-27,DL,DL,DL,463,DL,N923AT,463,12478,JFK,"New York, NY",13487,MSP,"Minneapolis, MN",1130,1127,-3,27,1154,1319,5,1331,1324,-7,0,,0,N,181,177,145,1,1029,,,,,,,,,
2018-09-03,AA,AA_CODESHARE,AA,4095,MQ,N800AE,4095,11042,CLE,"Cleveland, OH",12478,JFK,"New York, NY",1334,1325,-9,19,1344,1505,8,1516,1513,-3,0,,0,N,102,108,81,1,425,,,,,,,,,
2019-01-13,UA,UA_CODESHARE,UA,4707,AX,N12136,4707,12896,LBB,"Lubbock, TX",11292,DEN,"Denver, CO",1253,1251,-2,16,1307,1327,9,1330,1336,6,0,,0,N,97,105,80,1,456,,,,,,,,,
2018-09-27,DL,DL,DL,1134,DL,N303DN,1134,14027,PBI,"West Palm Beach/Palm Beach, FL",10397,ATL,"Atlanta, GA",1100,1057,-3,11,1108,1222,9,1244,1231,-13,0,,0,N,104,94,74,1,545,,,,,,,,,
2019-08-12,DL,DL,DL,2367,DL,N349NW,2367,10397,ATL,"Atlanta, GA",11298,DFW,"Dallas/Fort Worth, TX",1749,1745,-4,12,1757,1839,4,1909,1843,-26,0,,0,N,140,118,102,1,731,,,,,,,,,
2019-04-18,B6,B6,B6,2953,B6,N663JB,2953,12478,JFK,"New York, NY",14027,PBI,"West Palm Beach/Palm Beach, FL",1659,1654,-5,44,1738,1956,3,2016,1959,-17,0,,0,N,197,185,138,1,1028,,,,,,,,,
2019-12-12,AS,AS_CODESHARE,AS,2878,QX,N622QX,2878,14004,PAE,"Everett, WA",14057,PDX,"Portland, OR",615,613,-2,19,632,708,3,710,711,1,0,,0,N,55,58,36,1,161,,,,,,,,,
2019-02-15,WN,WN,WN,874,WN,N8716B,874,14307,PVD,"Providence, RI",11697,FLL,"Fort Lauderdale, FL",630,631,1,10,641,918,6,945,924,-21,0,,0,N,195,173,157,1,1188,,,,,,,,,
2019-05-09,UA,UA_CODESHARE,UA,4612,AX,N31131,4612,14730,SDF,"Louisville, KY",13930,ORD,"Chicago, IL",1805,1851,46,23,1914,1909,35,1848,1944,56,0,,0,N,103,113,55,1,286,0,0,10,0,46,,,,
